psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100002,1,18,2,S,2,2,2,2,2, , , , , ,3,2,1,62,4,2,1,2,1.46341463414634,.487911897607578
100005,1,18,2,U,1,2,1,1,2,2,2,2,2, ,3,2,2,85,8,2,2,1,1.1219512195122,.37406578816581
100008,1,39,2,R,1,2,2,2,1,2,2,2,2, ,1,1,1,41,3,2,1,4,2.26829268292683,.756263441291746
100010,1,24,3,S,1,2,2,1,2,1,2,2,2, ,3,2,1,19,3,2,1,7,2.41463414634146,.805054631052503
100012,1,42,1,S,1,2,2,2,2,2,2,2,2, ,3,2,2,84,2,2,2,2,1.68292682926829,.561098682248714
100014,1,36,1,S,2,2,2,2,2, , , , , ,3,2,2,84,4,2,1,7,1.97560975609756,.65868106177023
100020,1,42,1,R,1,1,1,1,1,2,1,2,2, ,1,1,2,55,6,2,1,6,1.31707317073171,.43912070784682
100025,1,18,2,S,1,1,1,2,1,2,1,2,2, ,1,2,2,51,3,2,1,99,3.48780487804878,1.16285668929806
100028,1,37,3,U,1,2,2,2,2,2,2,2,2, ,3,2,2,58,3,2,2,2,1.53658536585366,.512307492487957
100037,1,24,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,64,3,2,5,3,2.95121951219512,.983955660175282
100043,1,9,1,S,1,2,2,2,2,2,2,2,2, ,3,2,1,77,5,2,1,3,1.60975609756098,.536703087368336
100046,1,26,2,R,1,2,2,2,1,1,2,2,2, ,2,1,2,27,3,2,1,2,2.75609756097561,.918900740494271
100049,1,50,1,S,1,2,2,2,2,8,2,2,2, ,3,2,2,65,6,2,1,8,1.07317073170732,.357802058245557
100050,1,36,1,S,1,2,2,2,2,2,2,2,2, ,3,2,2,65,3,2,1,6,3.63414634146342,1.21164787905882
100051,1,26,2,S,1,1,1,1,2,1,1,2,1,3,1,1,2,53,6,2,1,5,2.78048780487805,.927032605454398
